Net,Size,IoU,Dice
R18+LA-Net (0.25),256,0.403,0.505
R18+LA-Net (0.25),256,0.416,0.526
R18+LA-Net (0.25),256,0.401,0.507
R18+LA-Net (0.25),512,0.559,0.678
R18+LA-Net (0.25),512,0.553,0.668
R18+LA-Net (0.25),512,0.564,0.683
R50+LA-Net (0.25),256,0.42,0.519
R50+LA-Net (0.25),256,0.419,0.517
R50+LA-Net (0.25),256,0.399,0.497
R50+LA-Net (0.25),512,0.541,0.654
R50+LA-Net (0.25),512,0.548,0.66
R50+LA-Net (0.25),512,0.545,0.657
R18+LA-Net (0.5),256,0.42,0.525
R18+LA-Net (0.5),256,0.432,0.543
R18+LA-Net (0.5),256,0.419,0.519
R18+LA-Net (0.5),512,0.574,0.686
R18+LA-Net (0.5),512,0.556,0.669
R18+LA-Net (0.5),512,0.556,0.68
R50+LA-Net (0.5),256,0.417,0.517
R50+LA-Net (0.5),256,0.426,0.531
R50+LA-Net (0.5),256,0.413,0.515
R50+LA-Net (0.5),512,0.559,0.671
R50+LA-Net (0.5),512,0.566,0.68
R50+LA-Net (0.5),512,0.552,0.663
R18+LA-Net (0.75),256,0.423,0.523
R18+LA-Net (0.75),256,0.413,0.513
R18+LA-Net (0.75),256,0.427,0.532
R18+LA-Net (0.75),512,0.564,0.68
R18+LA-Net (0.75),512,0.56,0.672
R18+LA-Net (0.75),512,0.586,0.699
R50+LA-Net (0.75),256,0.429,0.539
R50+LA-Net (0.75),256,0.427,0.532
R50+LA-Net (0.75),256,0.435,0.542
R50+LA-Net (0.75),512,0.564,0.681
R50+LA-Net (0.75),512,0.562,0.68
R50+LA-Net (0.75),512,0.567,0.69
R18+LA-Net (1),256,0.439,0.541
R18+LA-Net (1),256,0.428,0.527
R18+LA-Net (1),256,0.42,0.523
R18+LA-Net (1),512,0.579,0.702
R18+LA-Net (1),512,0.603,0.725
R18+LA-Net (1),512,0.596,0.721
R50+LA-Net (1),256,0.438,0.541
R50+LA-Net (1),256,0.432,0.537
R50+LA-Net (1),256,0.445,0.551
R50+LA-Net (1),512,0.564,0.681
R50+LA-Net (1),512,0.565,0.683
R50+LA-Net (1),512,0.576,0.696
UNet (1),256,0.463,0.559
UNet (1),256,0.459,0.583
UNet (1),256,0.483,0.598
UNet (0.75),256,0.443,0.552
UNet (0.75),256,0.447,0.534
UNet (0.75),256,0.453,0.54
UNet (0.5),256,0.411,0.503
UNet (0.5),256,0.415,0.512
UNet (0.5),256,0.419,0.514
UNet (0.25),256,0.364,0.474
UNet (0.25),256,0.325,0.414
UNet (0.25),256,0.342,0.449
R18+RMTL (1),256,0.395,0.518
R18+RMTL (1),256,0.406,0.54
R18+RMTL (1),256,0.365,0.489
R50+RMTL (1),256,0.402,0.528
R50+RMTL (1),256,0.366,0.469
R50+RMTL (1),256,0.383,0.506
R18+RMTL (0.75),256,0.337,0.469
R18+RMTL (0.75),256,0.351,0.482
R18+RMTL (0.75),256,0.338,0.465
R50+RMTL (0.75),256,0.326,0.453
R50+RMTL (0.75),256,0.342,0.467
R50+RMTL (0.75),256,0.32,0.446
R18+RMTL (0.5),256,0.348,0.474
R18+RMTL (0.5),256,0.313,0.437
R18+RMTL (0.5),256,0.325,0.452
R50+RMTL (0.5),256,0.325,0.442
R50+RMTL (0.5),256,0.304,0.422
R50+RMTL (0.5),256,0.299,0.419
R18+RMTL (0.25),256,0.294,0.414
R18+RMTL (0.25),256,0.312,0.435
R18+RMTL (0.25),256,0.284,0.394
R50+RMTL (0.25),256,0.256,0.366
R50+RMTL (0.25),256,0.291,0.413
R50+RMTL (0.25),256,0.294,0.407
AGN (1),256,0.415,0.52
AGN (1),256,0.423,0.525
AGN (1),256,0.433,0.533
DeepLabV3 (1),256,0.488,0.591
DeepLabV3 (1),256,0.501,0.6
DeepLabV3 (1),256,0.496,0.588
