Net,Size,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R18,256,87.9,89.4,89.4,88.6,92.5,89.3
R18,256,88.1,90.6,90.6,88.8,92.1,89.1
R18,256,88,90.6,90.6,88.8,92.4,89.5
R50,256,90,90.8,90.8,90.4,95.7,91.1
R50,256,90.3,89.5,89.5,89.9,95,91.3
R50,256,90,90.8,90.8,90.4,95.5,91.0
R18+RMTL,256,94.6,93.9,93.9,93.9,96.9,93.9
R18+RMTL,256,93.1,92.7,92.7,92.7,96,92.7
R18+RMTL,256,94.1,93.9,93.9,93.9,96.6,93.9
R50+RMTL,256,96.6,96.3,96.3,96.3,98.7,96.3
R50+RMTL,256,95.4,95.1,95.1,95.1,98.1,95.1
R50+RMTL,256,95.8,95.1,95.1,95.1,97.9,95.1
R18+LA-Net,256,95.6,95.0,95.0,95.0,98,95.1
R18+LA-Net,256,95.2,95.3,95.3,95.3,97.7,95.3
R18+LA-Net,256,95.6,95.1,95.1,95.0,98.1,95.0
R50+LA-Net,256,96.3,96.2,96.4,96.4,99.1,96.2
R50+LA-Net,256,96.4,96.6,96.2,96.6,98.8,96.6
R50+LA-Net,256,96.7,96.4,96.6,96.2,99,96.4
