Net,Size,JSI,,,
ResNet18+LA-Net,256,0.41,,,
ResNet18+LA-Net,256,0.407,,,
ResNet18+LA-Net,256,0.413,,,
ResNet18+LA-Net,512,0.579,,,
ResNet18+LA-Net,512,0.572,,,
ResNet18+LA-Net,512,0.584,,,
ResNet50+LA-Net,256,0.426,,,
ResNet50+LA-Net,256,0.426,,,
ResNet50+LA-Net,256,0.423,,,
ResNet50+LA-Net,512,0.545,,,
ResNet50+LA-Net,512,0.536,,,
ResNet50+LA-Net,512,0.552,,,
ResNet18+LA-Net (no CAM),256,0.442,,,
ResNet18+LA-Net (no CAM),256,0.434,,,
ResNet18+LA-Net (no CAM),256,0.444,,,
ResNet18+LA-Net (no CAM),512,0.556,,,
ResNet18+LA-Net (no CAM),512,0.553,,,
ResNet18+LA-Net (no CAM),512,0.554,,,
ResNet50+LA-Net (no CAM),256,0.359,,,
ResNet50+LA-Net (no CAM),256,0.371,,,
ResNet50+LA-Net (no CAM),256,0.341,,,
ResNet50+LA-Net (no CAM),512,0.519,,,
ResNet50+LA-Net (no CAM),512,0.522,,,
ResNet50+LA-Net (no CAM),512,0.512,,,
ResNet18+LA-Net (no SAM),256,0.42,,,
ResNet18+LA-Net (no SAM),256,0.421,,,
ResNet18+LA-Net (no SAM),256,0.415,,,
ResNet18+LA-Net (no SAM),512,0.45,,,
ResNet18+LA-Net (no SAM),512,0.436,,,
ResNet18+LA-Net (no SAM),512,0.451,,,
ResNet50+LA-Net (no SAM),256,0.405,,,
ResNet50+LA-Net (no SAM),256,0.401,,,
ResNet50+LA-Net (no SAM),256,0.406,,,
ResNet50+LA-Net (no SAM),512,0.476,,,
ResNet50+LA-Net (no SAM),512,0.465,,,
ResNet50+LA-Net (no SAM),512,0.487,,,
ResNet18+LA-Net (no MAM),256,0.403,,,
ResNet18+LA-Net (no MAM),256,0.413,,,
ResNet18+LA-Net (no MAM),256,0.389,,,
ResNet18+LA-Net (no MAM),512,0.546,,,
ResNet18+LA-Net (no MAM),512,0.551,,,
ResNet18+LA-Net (no MAM),512,0.538,,,
ResNet50+LA-Net (no MAM),256,0.42,,,
ResNet50+LA-Net (no MAM),256,0.422,,,
ResNet50+LA-Net (no MAM),256,0.414,,,
ResNet50+LA-Net (no MAM),512,0.562,,,
ResNet50+LA-Net (no MAM),512,0.56,,,
ResNet50+LA-Net (no MAM),512,0.561,,,
