Net,Size,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R50,256,85.4,79.2,79.2,80.9,86.8,83.7
R50,256,85.7,79.3,79.3,81.1,87.1,84
R50,256,84.7,78.3,78.3,80,85.4,83
R50+LA-Net (no CAM),256,81.1,79.8,79.8,80.4,90.2,82.2
R50+LA-Net (no CAM),256,81.7,80,80,80.7,92.8,82.6
R50+LA-Net (no CAM),256,81.2,80,80,80.5,90.7,82.4
R50+LA-Net (no SAM),256,87.2,83.2,83.2,84.6,92.3,86.5
R50+LA-Net (no SAM),256,85.9,81.1,81.1,82.4,89.1,84.6
R50+LA-Net (no SAM),256,86.2,82.3,82.3,83.6,90.3,85.6
R50+LA-Net (no MAM),256,86.5,80.1,80.1,81.9,90.4,84.6
R50+LA-Net (no MAM),256,86.5,80.9,80.9,82.6,86.4,85.1
R50+LA-Net (no MAM),256,85.2,79.3,79.3,81,88.1,83.7
R50+LA-Net,256,88.7,86.4,86.4,87.3,95,88.6
R50+LA-Net,256,89,87.3,87.3,88,94.3,89.2
R50+LA-Net,256,88.2,86.9,86.9,87.5,94.7,88.7
