Net,Size,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R18,256,88,89.4,89.4,88.6,92.5,89.3
R18,256,88,90.6,90.6,88.8,92.1,89.3
R18,256,88,90.6,90.6,88.8,92.4,89.3
R50,256,90,90.8,90.8,90.4,95.7,91.1
R50,256,90.3,89.5,89.5,89.9,95,91.1
R50,256,90,90.8,90.8,90.4,95.5,91.1
R18,512,82.4,84.2,84.2,83,88.3,85.5
R18,512,84.4,86.7,86.7,85,89.1,85.7
R18,512,84.2,85.6,85.6,84.8,87.8,85.7
R50,512,83.5,86.4,86.4,83.5,92.5,83.9
R50,512,86.4,89.2,89.2,87,91.2,87.5
R50,512,84.4,86.7,86.7,85,90.7,85.7
R18+LA-Net (no CAM),256,92.2,92.2,92.2,92.2,98.1,92.9
R18+LA-Net (no CAM),256,92.2,92.2,92.2,92.2,98.3,92.9
R18+LA-Net (no CAM),256,92.2,92.2,92.2,92.2,98,92.9
R50+LA-Net (no CAM),256,94.7,93.6,93.6,94.1,94.6,94.6
R50+LA-Net (no CAM),256,94.7,93.6,93.6,94.1,96.3,94.6
R50+LA-Net (no CAM),256,93.8,94.7,94.7,94.2,96.5,94.6
R18+LA-Net (no CAM),512,95.5,94.4,97.2,96.2,98.8,96.4
R18+LA-Net (no CAM),512,94.7,97.2,93.6,94.1,98.8,94.6
R18+LA-Net (no CAM),512,95.5,94.4,97.2,96.2,99.1,96.4
R50+LA-Net (no CAM),512,90,90.8,90.8,90.4,97.4,91.1
R50+LA-Net (no CAM),512,90.7,89.7,89.7,90.2,96.3,91.1
R50+LA-Net (no CAM),512,90,90.8,90.8,90.4,96.6,91.1
R18+LA-Net (no SAM),256,88.3,88.3,88.3,88.3,97,89.3
R18+LA-Net (no SAM),256,90.7,89.7,89.7,90.2,96.5,91.1
R18+LA-Net (no SAM),256,90,90.8,90.8,90.4,98,91.1
R50+LA-Net (no SAM),256,92.2,92.2,92.2,92.2,97.2,92.9
R50+LA-Net (no SAM),256,93.3,91.1,91.1,92,98.4,92.9
R50+LA-Net (no SAM),256,92.2,92.2,92.2,92.2,96.1,92.9
R18+LA-Net (no SAM),512,93.3,91.1,91.1,92,98.1,92.9
R18+LA-Net (no SAM),512,91.9,88.6,88.6,89.9,97.3,91.1
R18+LA-Net (no SAM),512,93.3,91.1,91.1,92,98,92.9
R50+LA-Net (no SAM),512,88,89.4,89.4,88.6,97,89.3
R50+LA-Net (no SAM),512,89.2,87.2,87.2,88.1,96.3,89.3
R50+LA-Net (no SAM),512,89.2,87.2,87.2,88.1,96.1,89.3
R18+LA-Net (no MAM),256,92.2,92.2,92.2,92.2,97.6,92.9
R18+LA-Net (no MAM),256,92.2,92.2,92.2,92.2,98.1,92.9
R18+LA-Net (no MAM),256,91.9,88.6,88.6,89.9,96.5,91.1
R50+LA-Net (no MAM),256,94.7,93.6,93.6,94.1,97.9,94.6
R50+LA-Net (no MAM),256,94.7,93.6,93.6,94.1,96.2,94.6
R50+LA-Net (no MAM),256,92.2,92.2,92.2,92.2,95.1,92.9
R18+LA-Net (no MAM),512,93.3,91.1,91.1,92,98.1,92.9
R18+LA-Net (no MAM),512,93.3,91.1,91.1,92,97.6,92.9
R18+LA-Net (no MAM),512,92.2,92.2,92.2,92.2,98.4,92.9
R50+LA-Net (no MAM),512,90.7,89.7,89.7,90.2,98.1,91.1
R50+LA-Net (no MAM),512,90.7,89.7,89.7,90.2,95.8,91.1
R50+LA-Net (no MAM),512,90.7,89.7,89.7,90.2,97.6,91.1
R18+LA-Net,256,93.3,91.1,91.1,92,98.4,94.5
R18+LA-Net,256,92.2,92.2,92.2,92.2,97.7,92.7
R18+LA-Net,256,93.3,91.1,91.1,92,97.5,94.5
R50+LA-Net,256,94.7,93.6,93.6,94.1,97.2,94.6
R50+LA-Net,256,94.7,93.6,93.6,94.1,97.1,94.6
R50+LA-Net,256,94.7,93.6,93.6,94.1,96.4,94.6
R18+LA-Net,512,96.1,96.1,96.1,96.1,99,96.4
R18+LA-Net,512,97.4,95,95,96,98.2,96.4
R18+LA-Net,512,97.4,95,95,96,98.4,96.4
R50+LA-Net,512,92.2,92.2,92.2,92.2,97.5,92.9
R50+LA-Net,512,92.2,92.2,92.2,92.2,97.3,92.9
R50+LA-Net,512,91.7,93.3,93.3,92.4,96.8,92.9
