Net,Size,IoU,Dice
R18+LA-Net,256,0.458,0.597
R18+LA-Net,256,0.45,0.576
R18+LA-Net,256,0.44,0.568
R18+LA-Net,512,0.551,0.682
R18+LA-Net,512,0.559,0.685
R18+LA-Net,512,0.532,0.661
R50+LA-Net,256,0.419,0.551
R50+LA-Net,256,0.391,0.519
R50+LA-Net,256,0.409,0.532
R50+LA-Net,512,0.55,0.681
R50+LA-Net,512,0.532,0.661
R50+LA-Net,512,0.527,0.696
R18+LA-Net (no CAM),256,0.423,0.548
R18+LA-Net (no CAM),256,0.424,0.551
R18+LA-Net (no CAM),256,0.433,0.571
R18+LA-Net (no CAM),512,0.495,0.634
R18+LA-Net (no CAM),512,0.524,0.652
R18+LA-Net (no CAM),512,0.498,0.639
R50+LA-Net (no CAM),256,0.364,0.491
R50+LA-Net (no CAM),256,0.41,0.544
R50+LA-Net (no CAM),256,0.4,0.539
R50+LA-Net (no CAM),512,0.46,0.6
R50+LA-Net (no CAM),512,0.467,0.599
R50+LA-Net (no CAM),512,0.471,0.597
R18+LA-Net (no SAM),256,0.409,0.541
R18+LA-Net (no SAM),256,0.426,0.562
R18+LA-Net (no SAM),256,0.442,0.582
R18+LA-Net (no SAM),512,0.551,0.686
R18+LA-Net (no SAM),512,0.53,0.668
R18+LA-Net (no SAM),512,0.526,0.668
R50+LA-Net (no SAM),256,0.385,0.52
R50+LA-Net (no SAM),256,0.378,0.493
R50+LA-Net (no SAM),256,0.373,0.503
R50+LA-Net (no SAM),512,0.444,0.59
R50+LA-Net (no SAM),512,0.476,0.617
R50+LA-Net (no SAM),512,0.52,0.679
R18+LA-Net (no MAM),256,0.437,0.579
R18+LA-Net (no MAM),256,0.425,0.567
R18+LA-Net (no MAM),256,0.434,0.571
R18+LA-Net (no MAM),512,0.537,0.67
R18+LA-Net (no MAM),512,0.542,0.671
R18+LA-Net (no MAM),512,0.519,0.646
R50+LA-Net (no MAM),256,0.41,0.552
R50+LA-Net (no MAM),256,0.404,0.548
R50+LA-Net (no MAM),256,0.394,0.538
R50+LA-Net (no MAM),512,0.53,0.673
R50+LA-Net (no MAM),512,0.502,0.648
R50+LA-Net (no MAM),512,0.494,0.625
