Net,Size,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R18,256,87.9,89.4,89.4,88.6,92.5,89.2
R18,256,88,90.6,90.6,88.8,92.1,89.3
R18,256,88.1,90.6,90.6,88.8,92.4,89.4
R50,256,90.1,90.8,90.8,90.4,95.7,91.2
R50,256,90.3,89.5,89.5,89.9,95,91.
R50,256,89.9,90.8,90.8,90.4,95.5,91.1
R18+RMTL,256,63.8,64.6,64.6,61.2,67.7,61.4
R18+RMTL,256,64.9,63.4,63.4,56.3,72.2,56.5
R18+RMTL,256,64.8,62.7,62.7,54.9,75.9,55.3
R50+RMTL,256,68.8,65.3,65.3,66,74.8,71.1
R50+RMTL,256,82.1,65.1,65.1,65.2,82.1,74.4
R50+RMTL,256,70.7,71.7,71.7,67.5,79.7,67.6
R18+LA-Net,256,93.3,91.1,91.1,92,98.4,94.5
R18+LA-Net,256,92.2,92.2,92.2,92.2,97.7,92.7
R18+LA-Net,256,93.3,91.1,91.1,92,97.5,94.5
R50+LA-Net,256,94.6,93.5,93.5,94.0,97.2,94.5
R50+LA-Net,256,94.8,93.7,93.7,94.2,97.1,94.7
R50+LA-Net,256,94.7,93.6,93.6,94.1,96.4,94.6
