Net,Precision,Recall,Specificity,F1-Score,AUC,Accuracy,IoU,Dice
R18+LA-Net-256,93.3,91.1,91.1,92,98.4,94.5,45.8,59.7
R18+LA-Net-256,92.2,92.2,92.2,92.2,97.7,92.7,45.0,57.6
R18+LA-Net-256,93.3,91.1,91.1,92,97.5,94.5,44.0,56.8
R18+LA-Net-512,96.1,96.1,96.1,96.1,99,96.4,55.1,68.2
R18+LA-Net-512,97.4,95,95,96,98.2,96.3,55.9,68.5
R18+LA-Net-512,97.4,95,95,96,98.4,96.5,53.2,66.1
R50+LA-Net-256,94.6,93.5,93.5,94.,97.2,94.5,41.9,55.1
R50+LA-Net-256,94.8,93.7,93.7,94.2,97.1,94.7,39.1,51.9
R50+LA-Net-256,94.7,93.6,93.6,94.1,96.4,94.6,40.9,53.2
R50+LA-Net-512,92.2,92.2,92.2,92.2,97.5,92.8,55.0,68.1
R50+LA-Net-512,92.2,92.2,92.2,92.2,97.3,93,53.2,66.1
R50+LA-Net-512,91.7,93.3,93.3,92.4,96.8,92.9,52.7,69.6
