Net,Size,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R18,256,88.7,82.4,82.4,84.2,91.8,86.6
R18,256,87.6,81.5,81.5,83.3,91.9,85.7
R18,256,88.4,82.5,82.5,84.3,91.5,86.4
R50,256,85.4,79.2,79.2,80.9,86.8,83.7
R50,256,85.7,79.3,79.3,81.1,87.1,84
R50,256,84.7,78.3,78.3,80,85.4,83
R18+LA-Net,256,85.7,86,86,85.8,92.3,86.5
R18+LA-Net,256,85.2,85.6,85.6,85.4,92,86.3
R18+LA-Net,256,86.1,86.5,86.5,86.3,92.8,86.8
R50+LA-Net,256,88.7,86.4,86.4,87.3,95,88.6
R50+LA-Net,256,89,87.3,87.3,88,94.3,89.2
R50+LA-Net,256,88.2,86.9,86.9,87.5,94.7,88.7
R18+RMTL,256,87.1,80.9,80.9,82.7,92.1,85.2
R18+RMTL,256,85.1,78.6,78.6,80.4,91.2,83.4
R18+RMTL,256,85.4,79.5,79.5,81.2,91.4,83.9
R50+RMTL,256,83,78.9,78.9,80.3,92.2,83
R50+RMTL,256,84,77.7,77.7,79.4,91.3,82.5
R50+RMTL,256,82.8,77.4,77.4,78.9,91,81.9
