Net,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R18+RMTL-SSL,87.1,80.9,80.9,82.7,92.1,85.2
R18+RMTL-SSL,85.1,78.6,78.6,80.4,91.2,83.4
R18+RMTL-SSL,85.4,79.5,79.5,81.2,91.4,83.9
R50+RMTL-SSL,83,78.9,78.9,80.3,92.2,83
R50+RMTL-SSL,84,77.7,77.7,79.4,91.3,82.5
R50+RMTL-SSL,82.8,77.4,77.4,78.9,91,81.9
R18+LA-Net-SSL,85.7,86,86,85.8,92.3,86.5
R18+LA-Net-SSL,85.2,85.6,85.6,85.4,92,86.3
R18+LA-Net-SSL,86.1,86.5,86.5,86.3,92.8,86.8
R50+LA-Net-SSL,88.7,86.4,86.4,87.3,95,88.6
R50+LA-Net-SSL,89,87.3,87.3,88,94.3,89.2
R50+LA-Net-SSL,88.2,86.9,86.9,87.5,94.7,88.7
R18+RMTL-FSL,63.8,64.6,64.6,61.2,67.7,61.4
R18+RMTL-FSL,64.9,63.4,63.4,56.3,72.2,56.5
R18+RMTL-FSL,64.8,62.7,62.7,54.9,75.9,55.3
R50+RMTL-FSL,68.8,65.3,65.3,66,74.8,71.1
R50+RMTL-FSL,82.1,65.1,65.1,65.2,82.1,74.4
R50+RMTL-FSL,70.7,71.7,71.7,67.5,79.7,67.6
R18+LA-Net-FSL,76.2,77.8,77.8,76.6,82.5,77.7
R18+LA-Net-FSL,73,74.9,74.9,72.1,82.5,72.6
R18+LA-Net-FSL,75.8,77.1,77.1,76.2,83.6,77.4
R50+LA-Net-FSL,77.3,79.1,79.1,77.7,88.7,78.6
R50+LA-Net-FSL,84.9,83.2,83.2,83.9,90.9,85.5
R50+LA-Net-FSL,82.6,82.5,82.5,82.6,90.6,84
