Net,IoU,Dice
R18+RMTL-SSL,0.241,0.354
R18+RMTL-SSL,0.251,0.364
R18+RMTL-SSL,0.274,0.384
R50+RMTL-SSL,0.301,0.418
R50+RMTL-SSL,0.307,0.405
R50+RMTL-SSL,0.321,0.423
R18+LA-Net-SSL,0.411,0.534
R18+LA-Net-SSL,0.404,0.523
R18+LA-Net-SSL,0.415,0.538
R50+LA-Net-SSL,0.378,0.511
R50+LA-Net-SSL,0.387,0.512
R50+LA-Net-SSL,0.38,0.496
R18+LA-Net-FSL,0.458,0.597
R18+LA-Net-FSL,0.45,0.576
R18+LA-Net-FSL,0.44,0.568
R50+LA-Net-FSL,0.419,0.551
R50+LA-Net-FSL,0.391,0.519
R50+LA-Net-FSL,0.409,0.532
R18+RMTL-FSL,0.365,0.511
R18+RMTL-FSL,0.391,0.525
R18+RMTL-FSL,0.376,0.519
R50+RMTL-FSL,0.361,0.496
R50+RMTL-FSL,0.405,0.542
R50+RMTL-FSL,0.382,0.514
