Net,Precision,Recall,Specificity,F1-Score,AUC,Accuracy,IoU,Dice
R18+LA-Net-256,85.7,86,86,85.8,92.3,86.5,41.1,53.4
R18+LA-Net-256,85.2,85.6,85.6,85.4,92,86.3,40.4,52.1
R18+LA-Net-256,86.1,86.5,86.5,86.3,92.8,86.8,41.5,53.8
R18+LA-Net-512,83.5,80.3,80.3,81.5,89,83.8,49.1,62.5
R18+LA-Net-512,83.9,80.7,80.7,81.8,89.2,84,47.4,60.8
R18+LA-Net-512,84.9,81.6,81.6,82.8,89.8,84.6,48.6,63.6
R50+LA-Net-256,88.7,86.4,86.4,87.3,95,88.6,37.8,51.1
R50+LA-Net-256,89,87.3,87.3,88,94.3,89.2,38.7,51.2
R50+LA-Net-256,88.2,86.9,86.9,87.5,94.7,88.7,38.0,49.6
R50+LA-Net-512,86.2,82.8,82.8,84,93.8,85.7,45.7,57.8
R50+LA-Net-512,86.6,83.4,83.4,84.6,93.9,85.9,46.1,58.0
R50+LA-Net-512,86,82.6,82.6,83.8,93.7,85.5,46.9,59.2
