Net,Size,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R18,256,91,89,89,88.9,96.9,89
R18,256,90.2,89,89,88.9,96.6,89
R18,256,88.6,87.8,87.8,87.7,95.9,87.8
R50,256,94.1,93.9,93.9,93.9,96.8,93.9
R50,256,94.1,93.9,93.9,93.9,96.8,93.9
R50,256,93.9,93.9,93.9,93.9,96.5,93.9
R18,512,93.1,92.7,92.7,92.7,97.2,92.7
R18,512,92.1,91.5,91.5,91.4,96.5,91.5
R18,512,91.7,91.5,91.5,91.5,96.4,91.5
R50,512,93.9,93.9,93.9,93.9,97.8,93.9
R50,512,94.0,93.9,93.9,93.9,97.6,93.9
R50,512,93.9,93.9,93.9,93.9,97.6,93.9
R18+RMTL,256,94.6,93.9,93.9,93.9,96.9,93.9
R18+RMTL,256,93.1,92.7,92.7,92.7,96,92.7
R18+RMTL,256,94.1,93.9,93.9,93.9,96.6,93.9
R50+RMTL,256,96.6,96.3,96.3,96.3,98.7,96.3
R50+RMTL,256,95.6,95.1,95.1,95.1,98.1,95.1
R50+RMTL,256,95.6,95.1,95.1,95.1,97.9,95.1
R18+RMTL,512,93.6,92.7,92.7,92.6,97.1,92.7
R18+RMTL,512,92.1,91.5,91.5,91.4,96.3,91.5
R18+RMTL,512,93.6,92.7,92.7,92.6,96.9,92.7
R50+RMTL,512,93.9,93.9,93.9,93.9,96.9,93.9
R50+RMTL,512,92.8,92.7,92.7,92.7,96,92.7
R50+RMTL,512,92.7,92.7,92.7,92.7,96.1,92.7
R18+LA-Net,256,95.6,95.1,95.1,95.1,98,95.1
R18+LA-Net,256,95.2,95.2,95.2,95.1,97.7,95.2
R18+LA-Net,256,95.6,95.1,95.1,95.1,98.1,95.1
R50+LA-Net,256,96.4,96.4,96.4,96.4,99.1,96.4
R50+LA-Net,256,96.4,96.4,96.4,96.4,98.8,96.4
R50+LA-Net,256,96.6,96.4,96.4,96.4,99,96.4
R18+LA-Net,512,95.6,95.1,95.1,95.1,98,95.1
R18+LA-Net,512,95.2,95.1,95.1,95.1,98.2,95.1
R18+LA-Net,512,95.2,95.2,95.2,95.1,98,95.2
R50+LA-Net,512,94,93.9,93.9,93.9,96.1,93.9
R50+LA-Net,512,95.1,95.1,95.1,95.1,96.9,95.1
R50+LA-Net,512,95.2,95.1,95.1,95.1,97.1,95.1
ViT,256,88.4,86.6,86.6,86.4,94.7,86.6
ViT,256,89,89,89,89,95.1,89
ViT,256,87.9,87.8,87.8,87.8,96.2,87.8
EB0,256,91.7,91.5,91.5,91.5,96,91.5
EB0,256,92.8,92.7,92.7,92.7,96.4,92.7
EB0,256,91.5,91.5,91.5,91.5,95.8,91.5
AGN,256,90.6,90.2,90.2,90.2,93.1,90.2
AGN,256,91.5,91.5,91.5,91.5,94.2,91.5
AGN,256,88.2,87.8,87.8,87.8,92.6,87.8
