Net,Size,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R18,256,88.7,82.4,82.4,84.2,91.8,86.6
R18,256,87.6,81.5,81.5,83.3,91.9,85.7
R18,256,88.4,82.5,82.5,84.3,91.5,86.4
R18,512,81.7,79.1,79.1,80.1,85,82.5
R18,512,80.4,77.9,77.9,78.8,85,81.1
R18,512,81.5,79.1,79.1,80,85.8,82.3
R50,256,85.4,79.2,79.2,80.9,86.8,83.7
R50,256,85.7,79.3,79.3,81.1,87.1,84
R50,256,84.7,78.3,78.3,80,85.4,83
R50,512,82.4,76,76,77.6,84.7,81.1
R50,512,83.2,77,77,78.6,85,81.5
R50,512,82.5,76.4,76.4,77.9,84.7,81.3
R18+LA-Net,256,85.7,86,86,85.8,92.3,86.5
R18+LA-Net,256,85.2,85.6,85.6,85.4,92,86.3
R18+LA-Net,256,86.1,86.5,86.5,86.3,92.8,86.8
R18+LA-Net,512,83.5,80.3,80.3,81.5,89,83.8
R18+LA-Net,512,83.9,80.7,80.7,81.8,89.2,84
R18+LA-Net,512,84.9,81.6,81.6,82.8,89.8,84.6
R50+LA-Net,256,88.7,86.4,86.4,87.3,95,88.6
R50+LA-Net,256,89,87.3,87.3,88,94.3,89.2
R50+LA-Net,256,88.2,86.9,86.9,87.5,94.7,88.7
R50+LA-Net,512,86.2,82.8,82.8,84,93.8,85.7
R50+LA-Net,512,86.6,83.4,83.4,84.6,93.9,85.9
R50+LA-Net,512,86,82.6,82.6,83.8,93.7,85.5
R18+RMTL,256,87.1,80.9,80.9,82.7,92.1,85.2
R18+RMTL,256,85.1,78.6,78.6,80.4,91.2,83.4
R18+RMTL,256,85.4,79.5,79.5,81.2,91.4,83.9
R18+RMTL,512,83.5,84.2,84.2,83.9,92.5,85
R18+RMTL,512,82.4,83.1,83.1,82.7,92,83.9
R18+RMTL,512,81.3,81.8,81.8,81.6,91.4,82.9
R50+RMTL,256,83,78.9,78.9,80.3,92.2,83
R50+RMTL,256,84,77.7,77.7,79.4,91.3,82.5
R50+RMTL,256,82.8,77.4,77.4,78.9,91,81.9
R50+RMTL,512,82.8,79.3,79.3,80.5,90.6,81.7
R50+RMTL,512,82,78.4,78.4,79.6,90.1,82.1
R50+RMTL,512,81.9,78,78,79.3,90.8,81.9
EB0,256,87,84,84,85.1,92,86.8
EB0,256,89.9,82.7,82.7,84.8,91,87.1
EB0,256,86.7,86.7,83.7,84.8,90.6,86.5
ViT,256,88.2,83.4,83.4,85,92.8,86.9
ViT,256,84.7,79.2,79.2,80.8,91.1,83.5
ViT,256,86,78.6,78.6,80.5,90.1,83.6
AGN,256,82,72.4,72.4,73.9,83.2,78.9
AGN,256,75,71.9,71.9,72.8,82.1,76.3
AGN,256,79.9,75,75,76.4,84.8,79.7
