Net,Size,Precision,Recall,Specificity,F1-Score,AUC,Accuracy
R18,256,88,89.4,89.4,88.6,92.5,89.3
R18,256,88,90.6,90.6,88.8,92.1,89.3
R18,256,88,90.6,90.6,88.8,92.4,89.3
R50,256,90,90.8,90.8,90.4,95.7,91.1
R50,256,90.3,89.5,89.5,89.9,95,91.1
R50,256,90,90.8,90.8,90.4,95.5,91.1
R18,512,82.4,84.2,84.2,83,88.3,85.5
R18,512,84.4,86.7,86.7,85,89.1,85.7
R18,512,84.2,85.6,85.6,84.8,87.8,85.7
R50,512,83.5,86.4,86.4,83.5,92.5,83.9
R50,512,86.4,89.2,89.2,87,91.2,87.5
R50,512,84.4,86.7,86.7,85,90.7,85.7
R18+RMTL,256,80.5,81.7,81.7,81,90.7,82.1
R18+RMTL,256,82.4,84.2,84.2,83,91.5,83.9
R18+RMTL,256,82.4,83.1,83.1,82.7,90.8,83.9
R50+RMTL,256,86.4,89.2,89.2,87,96.1,87.5
R50+RMTL,256,88,90.6,90.6,88.8,94.2,89.3
R50+RMTL,256,88.5,91.7,91.7,88.9,95.4,89.3
R18+RMTL,512,84.4,86.7,86.7,85,93.2,85.7
R18+RMTL,512,84.4,86.7,86.7,85,92.8,85.7
R18+RMTL,512,86.1,88.1,88.1,86.8,93.8,87.5
R50+RMTL,512,80.7,82.8,82.6,81.3,90.9,82.1
R50+RMTL,512,82.4,84.2,84.2,83,90.1,83.9
R50+RMTL,512,82.8,85.3,85.3,83.3,91.2,83.9
R18+LA-Net,256,93.3,91.1,91.1,92,98.4,94.5
R18+LA-Net,256,92.2,92.2,92.2,92.2,97.7,92.7
R18+LA-Net,256,93.3,91.1,91.1,92,97.5,94.5
R50+LA-Net,256,94.7,93.6,93.6,94.1,97.2,94.6
R50+LA-Net,256,94.7,93.6,93.6,94.1,97.1,94.6
R50+LA-Net,256,94.7,93.6,93.6,94.1,96.4,94.6
R18+LA-Net,512,96.1,96.1,96.1,96.1,99,96.4
R18+LA-Net,512,97.4,95,95,96,98.2,96.4
R18+LA-Net,512,97.4,95,95,96,98.4,96.4
R50+LA-Net,512,92.2,92.2,92.2,92.2,97.5,92.9
R50+LA-Net,512,92.2,92.2,92.2,92.2,97.3,92.9
R50+LA-Net,512,91.7,93.3,93.3,92.4,96.8,92.9
EB0,256,87.7,84.7,84.7,85.9,91.1,87.5
EB0,256,89.2,87.2,87.2,88.1,92.4,89.3
EB0,256,86.7,85.8,85.8,86.2,91.1,87.5
ViT,256,93.9,87.5,87.5,89.6,96.7,91.1
ViT,256,91.9,88.6,88.6,89.9,97.1,91.1
ViT,256,88,90.6,90.6,88.8,97.2,89.3
AGN,256,87.9,87.8,87.8,87.8,93.1,87.8
AGN,256,89,89,89,89,93.8,89
AGN,256,90.3,90.2,90.2,90.2,94.4,90.2
