Net,Size,IoU,Dice
R18+LA-Net,256,0.411,0.534
R18+LA-Net,256,0.404,0.523
R18+LA-Net,256,0.415,0.538
R18+LA-Net,512,0.491,0.625
R18+LA-Net,512,0.474,0.608
R18+LA-Net,512,0.486,0.636
R50+LA-Net,256,0.378,0.511
R50+LA-Net,256,0.387,0.512
R50+LA-Net,256,0.38,0.496
R50+LA-Net,512,0.457,0.578
R50+LA-Net,512,0.461,0.58
R50+LA-Net,512,0.469,0.592
R18+RMTL,256,0.365,0.511
R18+RMTL,256,0.391,0.525
R18+RMTL,256,0.376,0.519
R50+RMTL,256,0.361,0.496
R50+RMTL,256,0.405,0.542
R50+RMTL,256,0.382,0.514
R18+RMTL,512,0.424,0.571
R18+RMTL,512,0.446,0.586
R18+RMTL,512,0.429,0.568
R50+RMTL,512,0.411,0.553
R50+RMTL,512,0.407,0.545
R50+RMTL,512,0.411,0.554
