Net,Size,JSI
ResNet18+LA-Net (0.25),256,0.397
ResNet18+LA-Net (0.25),256,0.392
ResNet18+LA-Net (0.25),256,0.401
ResNet18+LA-Net (0.25),512,0.515
ResNet18+LA-Net (0.25),512,0.522
ResNet18+LA-Net (0.25),512,0.513
ResNet50+LA-Net (0.25),256,0.39
ResNet50+LA-Net (0.25),256,0.388
ResNet50+LA-Net (0.25),256,0.394
ResNet50+LA-Net (0.25),512,0.526
ResNet50+LA-Net (0.25),512,0.515
ResNet50+LA-Net (0.25),512,0.518
ResNet18+LA-Net (0.5),256,0.404
ResNet18+LA-Net (0.5),256,0.397
ResNet18+LA-Net (0.5),256,0.406
ResNet18+LA-Net (0.5),512,0.534
ResNet18+LA-Net (0.5),512,0.548
ResNet18+LA-Net (0.5),512,0.55
ResNet50+LA-Net (0.5),256,0.402
ResNet50+LA-Net (0.5),256,0.407
ResNet50+LA-Net (0.5),256,0.401
ResNet50+LA-Net (0.5),512,0.516
ResNet50+LA-Net (0.5),512,0.526
ResNet50+LA-Net (0.5),512,0.53
ResNet18+LA-Net (0.75),256,0.406
ResNet18+LA-Net (0.75),256,0.403
ResNet18+LA-Net (0.75),256,0.412
ResNet18+LA-Net (0.75),512,0.563
ResNet18+LA-Net (0.75),512,0.566
ResNet18+LA-Net (0.75),512,0.57
ResNet50+LA-Net (0.75),256,0.429
ResNet50+LA-Net (0.75),256,0.421
ResNet50+LA-Net (0.75),256,0.419
ResNet50+LA-Net (0.75),512,0.548
ResNet50+LA-Net (0.75),512,0.542
ResNet50+LA-Net (0.75),512,0.54
ResNet18+LA-Net (1),256,0.41
ResNet18+LA-Net (1),256,0.407
ResNet18+LA-Net (1),256,0.413
ResNet18+LA-Net (1),512,0.579
ResNet18+LA-Net (1),512,0.572
ResNet18+LA-Net (1),512,0.584
ResNet50+LA-Net (1),256,0.426
ResNet50+LA-Net (1),256,0.426
ResNet50+LA-Net (1),256,0.423
ResNet50+LA-Net (1),512,0.545
ResNet50+LA-Net (1),512,0.536
ResNet50+LA-Net (1),512,0.552
